ssue%23,Action Plan %23,Asset Type,Assessment Tool,LTR Applicable to,BU,GEAR ID,Responsible CIO / L4 (List all L4 names only),Vulnerability ID (seperated by Semicolon),Asset Names (seperated by Semicolon),Target Remediation Date,Requestor Name,Project Manager Name,Scan Type,LTR Category,Region,RA Submitter (EID of submitter),RA Approver (EID of Approver),Submission Date,Approval Date,Comments,ID,Modified
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306175,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609026,01/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/20/2022,13,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306176,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609027,02/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/21/2022,14,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306177,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609028,03/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/22/2022,15,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306178,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609029,04/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/23/2022,16,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306179,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609030,05/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/24/2022,17,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306180,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609031,06/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/25/2022,18,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306181,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609032,07/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/26/2022,19,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306182,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609033,08/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/27/2022,20,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306183,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609034,09/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/28/2022,21,
"5,713,808","5,713,809",Server,Qualys,Application ID,Infrastructure Services (IS),6175;306184,Richard Shannon/Paolo Palombo,11406;91910;91943;,PLGSASCS617500D; DWGSDSCS5190012; PWGSDSCS6175000; PLGSASCS6175001; PLGSASCS6175009; PWGSASCS6175002; PLGSASCS6159001; AWGSDSCLSHRDB02; PWGSDSCS4609035,10/01/2025,"Devlin, Chris",,Internal,Remediation,North America,,,,,12/29/2022,22,
